"Part",               "Package",                        "Pin Spacing", "I/Os", "nextpnr opts",              "arachne-pnr opts",  "icetime opts"
"iCE40-LP1K-SWG16TR", "16-ball WLCSP (1.40 x 1.48 mm)", "0.35 mm",     10,     "--lp1k --package swg16tr",  "-d 1k -P swg16tr",  "-d lp1k"
"iCE40-UP3K-UWG30",   "30-ball WLCSP (2.15 x 2.55 mm)", "0.40 mm",     21,     "--up5k --package uwg30",    "-d 5k -P uwg30",    "-d up5k"
"iCE40-UP5K-UWG30",   "30-ball WLCSP (2.15 x 2.55 mm)", "0.40 mm",     21,     "--up5k --package uwg30",    "-d 5k -P uwg30",    "-d up5k"
"iCE40-LP384-CM36",   "36-ball ucBGA (2.5 x 2.5 mm)",   "0.40 mm",     25,     "--lp384 --package cm36",    "-d 384 -P cm36",    "-d lp384"
"iCE40-LP1K-CM36",    "36-ball ucBGA (2.5 x 2.5 mm)",   "0.40 mm",     25,     "--lp1k --package cm36",     "-d 1k -P cm36",     "-d lp1k"
"iCE40-LP384-CM49",   "49-ball ucBGA (3 x 3 mm)",       "0.40 mm",     37,     "--lp384 --package cm49",    "-d 384 -P cm49",    "-d lp384"
"iCE40-LP1K-CM49",    "49-ball ucBGA (3 x 3 mm)",       "0.40 mm",     35,     "--lp1k --package cm49",     "-d 1k -P cm49",     "-d lp1k"
"iCE40-LP1K-CM81",    "81-ball ucBGA (4 x 4 mm)",       "0.40 mm",     63,     "--lp1k --package cm81",     "-d 1k -P cm81",     "-d lp1k"
"iCE40-LP4K-CM81",    "81-ball ucBGA (4 x 4 mm)",       "0.40 mm",     63,     "--lp8k --package cm81:4k",  "-d 8k -P cm81:4k",  "-d lp8k"
"iCE40-LP8K-CM81",    "81-ball ucBGA (4 x 4 mm)",       "0.40 mm",     63,     "--lp9k --package cm81",     "-d 8k -P cm81",     "-d lp8k"
"iCE40-LP1K-CM121",   "121-ball ucBGA (5 x 5 mm)",      "0.40 mm",     95,     "--lp1k --package cm121",    "-d 1k -P cm121",    "-d lp1k"
"iCE40-LP4K-CM121",   "121-ball ucBGA (5 x 5 mm)",      "0.40 mm",     93,     "--lp8k --package cm121:4k", "-d 8k -P cm121:4k", "-d lp8k"
"iCE40-LP8K-CM121",   "121-ball ucBGA (5 x 5 mm)",      "0.40 mm",     93,     "--lp8k --package cm121",    "-d 8k -P cm121",    "-d lp8k"
"iCE40-LP4K-CM225",   "225-ball ucBGA (7 x 7 mm)",      "0.40 mm",     167,    "--lp8k --package cm225:4k", "-d 8k -P cm225:4k", "-d lp8k"
"iCE40-LP8K-CM225",   "225-ball ucBGA (7 x 7 mm)",      "0.40 mm",     178,    "--lp8k --package cm225",    "-d 8k -P cm225",    "-d lp8k"
"iCE40-HX8K-CM225",   "225-ball ucBGA (7 x 7 mm)",      "0.40 mm",     178,    "--hx8k --package cm225",    "-d 8k -P cm225",    "-d hx8k"
"iCE40-LP384-QN32",   "32-pin QFN (5 x 5 mm)",          "0.50 mm",     21,     "--lp384 --package qn32",    "-d 384 -P qn32",    "-d lp384"
"iCE40-UP5K-SG48",    "48-pin QFN (7 x 7 mm)",          "0.50 mm",     39,     "--up5k --package sg48",     "-d 5k -P sg48",     "-d up5k"
"iCE40-LP1K-QN84",    "84-pin QFNS (7 x 7 mm)",         "0.50 mm",     67,     "--lp1k --package qn84",     "-d 1k -P qn84",     "-d lp1k"
"iCE40-LP1K-CB81",    "81-ball csBGA (5 x 5 mm)",       "0.50 mm",     62,     "--lp1k --package cb81",     "-d 1k -P cb81",     "-d lp1k"
"iCE40-LP1K-CB121",   "121-ball csBGA (6 x 6 mm)",      "0.50 mm",     92,     "--lp1k --package cb121",    "-d 1k -P cb121",    "-d lp1k"
"iCE40-HX1K-CB132",   "132-ball csBGA (8 x 8 mm)",      "0.50 mm",     95,     "--hx1k --package cb132",    "-d 1k -P cb132",    "-d hx1k"
"iCE40-HX4K-CB132",   "132-ball csBGA (8 x 8 mm)",      "0.50 mm",     95,     "--hx8k --package cb132:4k", "-d 8k -P cb132:4k", "-d hx8k"
"iCE40-HX8K-CB132",   "132-ball csBGA (8 x 8 mm)",      "0.50 mm",     95,     "--hx8k --package cb132",    "-d 8k -P cb132",    "-d hx8k"
"iCE40-HX1K-VQ100",   "100-pin VQFP (14 x 14 mm)",      "0.50 mm",     72,     "--hx1k --package vq100",    "-d 1k -P vq100",    "-d hx1k"
"iCE40-HX1K-TQ144",   "144-pin TQFP (20 x 20 mm)",      "0.50 mm",     96,     "--hx1k --package tq144",    "-d 1k -P tq144",    "-d hx1k"
"iCE40-HX4K-TQ144",   "144-pin TQFP (20 x 20 mm)",      "0.50 mm",     107,    "--hx8k --package tq144:4k", "-d 8k -P tq144:4k", "-d hx8k"
"iCE40-HX4K-BG121",   "121-ball caBGA (9 x 9 mm)",      "0.80 mm",     93,     "--hx8k --package bg121:4k", "-d 8k -P bg121:4k", "-d hx8k"
"iCE40-HX8K-BG121",   "121-ball caBGA (9 x 9 mm)",      "0.80 mm",     93,     "--hx8k --package bg121",    "-d 8k -P bg121",    "-d hx8k"
"iCE40-HX8K-CT256",   "256-ball caBGA (14 x 14 mm)",    "0.80 mm",     206,    "--hx8k --package ct256",    "-d 8k -P ct256",    "-d hx8k"
